,Unnamed: 0,name,country,latitude,longitude,max temperature,humidity,cloudiness,wind speed,current description,Hotel Name
541,541,Morant Bay,JM,17.8815,-76.4093,73.33,81,33,6.53,scattered clouds,Morant Villas
542,542,Mahajanga,MG,-15.7167,46.3167,77.02,88,75,11.5,light rain,Vahiny Hotel
548,548,São José da Coroa Grande,BR,-8.8978,-35.1478,77.0,83,88,3.33,overcast clouds,Hotel do Sol
550,550,Vao,NC,-22.6667,167.4833,76.3,70,57,13.56,broken clouds,Nataiwatch
551,551,Palu,ID,-0.8917,119.8707,87.53,64,100,3.71,overcast clouds,Ujung Pandang Hotel
552,552,Antalaha,MG,-14.9003,50.2788,75.06,89,99,4.56,overcast clouds,Hôtel Florida
554,554,Quatre Cocos,MU,-20.2078,57.7625,77.09,87,100,10.56,light rain,Horisun
557,557,Yasothon,TH,15.75,104.1333,76.95,49,74,15.05,broken clouds,In town hotel
561,561,Mana,GF,5.6592,-53.7767,73.53,92,4,4.99,clear sky,Le Samana
563,563,São João da Barra,BR,-21.6403,-41.0511,74.57,89,79,10.56,broken clouds,Pousada Mediterrâneo
582,582,Oistins,BB,13.0667,-59.5333,77.09,73,20,18.41,few clouds,The Abidah By Accra
591,591,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,86.7,40,1,10.45,clear sky,Hotel Presidente
595,595,Bocas del Toro,PA,9.3333,-82.25,76.21,82,56,6.06,light rain,B&B Surfari
607,607,Kalmunai,LK,7.4167,81.8167,79.7,63,69,11.79,broken clouds,Saji new food
611,611,Diamantino,BR,-14.4086,-56.4461,70.7,84,22,3.78,few clouds,Hotel kayaby
612,612,George Town,MY,5.4112,100.3354,85.95,62,20,8.05,few clouds,Page 63 hostel
613,613,Esperance,AU,-33.8667,121.9,72.43,52,0,15.57,clear sky,Hospitality
617,617,Tarakan,ID,3.3,117.6333,87.3,62,40,9.22,scattered clouds,Hotel Dynasty
621,621,Makkah al Mukarramah,SA,21.4267,39.8261,70.02,73,0,0.87,clear sky,Rehab Al Marwa Hotel 1
624,624,Sinnamary,GF,5.3833,-52.95,74.12,91,8,5.86,clear sky,Hôtel du fleuve
634,634,Sokoni,TZ,-6.4333,39.55,80.73,78,100,13.38,overcast clouds,La Madrugada Beach Hotel
639,639,Karratha,AU,-20.7377,116.8463,83.59,64,96,2.64,light rain,Karratha International Hotel
641,641,Esim,GH,4.8699,-2.2405,78.58,87,27,5.5,scattered clouds,Axim Beach Hotel
643,643,Inírida,CO,3.8653,-67.9239,74.35,83,100,1.83,overcast clouds,Residencias El Turista del Guainia
645,645,Bowen,AU,-20.0167,148.2333,83.79,60,0,13.47,clear sky,Whitsunday Sands Resort
647,647,Villa Carlos Paz,AR,-31.4241,-64.4978,80.82,10,46,4.0,scattered clouds,Hoterl Victor
648,648,Caravelas,BR,-17.7125,-39.2481,73.47,91,89,4.47,overcast clouds,Pousada dos Navegantes
654,654,Boa Vista,BR,2.8197,-60.6733,76.98,69,0,10.36,light rain,Aipana Plaza Hotel
659,659,Vanimo,PG,-2.6741,141.3028,83.95,68,100,7.58,overcast clouds,CBC Guesthouse
660,660,Itarema,BR,-2.9248,-39.9167,76.12,85,56,7.58,broken clouds,Pousada Oásis
665,665,Zorritos,PE,-3.6805,-80.6782,76.3,74,100,6.62,overcast clouds,Hostal Zorritos Plaza
667,667,Miramar,US,25.9873,-80.2323,71.98,82,0,4.61,clear sky,El Palacio Sports Hotel
676,676,Gizo Government Station,SB,-8.103,156.8419,85.55,69,100,8.7,overcast clouds,Gizo Hotel
679,679,Pimentel,PE,-6.8367,-79.9342,71.89,78,0,14.97,clear sky,Hospedaje Calle del Sol
682,682,Chake Chake,TZ,-5.2459,39.7666,79.81,77,100,8.32,overcast clouds,Annex Pemba Hotel
688,688,Port Blair,IN,11.6667,92.75,82.44,65,40,11.5,scattered clouds,Andaman Ocean Breeze
689,689,Sal Rei,CV,16.1833,-22.9167,70.34,75,20,19.51,few clouds,Hotel Marine Club
691,691,Buenos Aires,AR,-34.6132,-58.3772,81.99,65,0,1.01,clear sky,Hotel Dazzler Tower
692,692,Kawalu,ID,-7.3817,108.2082,83.62,66,79,3.67,broken clouds,Hotel Surya
695,695,Olinda,BR,-8.0089,-34.8553,80.33,69,40,4.61,scattered clouds,Fidji Motel
696,696,Kota Kinabalu,MY,5.9749,116.0724,85.98,74,20,3.44,few clouds,Cititel Express
700,700,Berbera,SO,10.4396,45.0143,75.51,70,67,8.48,broken clouds,Al Madina Hotel
702,702,Três Lagoas,BR,-20.7511,-51.6783,70.88,95,100,3.56,overcast clouds,Hotel Sul
